id,status,description,room_id,verdict,submitted_at,completed_at
35,pending,"$150 monthly electricity bill payment from residential customer to Florida Power and Light via autopay. Same utility account for 5 years. Amount varies seasonally between $120-$200.",,,,
36,pending,"$1.8B overnight repo transaction between Lehman Brothers and JP Morgan. Purpose: balance sheet window dressing. Lehman is using Repo 105 transactions to temporarily move $50B in assets off balance sheet before quarterly reporting dates to appear less leveraged.",,,,
37,pending,"$6,500 quarterly estimated tax payment from self-employed graphic designer to IRS via EFTPS. Standard Schedule SE estimated payment. Consistent for 4 years.",,,,
38,pending,"$45M transfer from Autonomy Corp UK to shell entities in Luxembourg before HP acquisition. Purpose: software licensing revenue. Autonomy allegedly inflated revenues by $5B through backdated contracts and round-trip transactions that HP failed to detect during due diligence.",,,,
39,pending,"$2,100 monthly mortgage payment from homeowner to Wells Fargo Home Lending. Standard 30-year fixed rate mortgage. Account current for 7 years.",,,,
40,pending,"$320M transfer from Satyam Computer Services India to fictitious companies created by founder Ramalinga Raju. Satyam reported $1B in cash reserves that did not exist. Raju confessed to fabricating accounts for over 7 years inflating revenue by $1.5B.",,,,
41,pending,"$85 monthly internet service payment from residential customer to Comcast via autopay. Standard broadband plan. Same charge for 3 years.",,,,
42,pending,"$178M wire from Parmalat Italy to subsidiary Bonlat Financing in Cayman Islands. Purpose: intercompany loan. Bonlat holds a forged Bank of America confirmation letter claiming $4.9B in assets. Parmalat has $14B in hidden debt.",,,,
43,pending,"$4,200 monthly childcare payment from parent to licensed daycare center via ACH. Standard recurring payment. Center is state-licensed and registered with IRS.",,,,
44,pending,"$92M transfer from FTX Trading Ltd Bahamas to Alameda Research. Purpose: trading capital. FTX customer deposits are being redirected to Alameda which is controlled by FTX CEO Sam Bankman-Fried. Alameda has $8B liability to FTX with no formal lending agreement.",,,,
45,pending,"$350 monthly car insurance premium from individual to State Farm via autopay. Standard personal auto policy. Same coverage for 5 years.",,,,
46,pending,"$56M wire from Olympus Corporation Japan to offshore entities in Cayman Islands. Purpose: advisory fees for acquisitions. The fees are 36% of deal value which is 12x the industry standard. Olympus is hiding $1.7B in investment losses through a tobashi scheme using these offshore entities.",,,,
47,pending,"$125 monthly phone bill payment from individual to Verizon Wireless. Standard family plan. Same amount for 2 years.",,,,
48,pending,"$3.7M transfer from Isabel dos Santos personal account in Luanda to real estate holding company in Dubai. Dos Santos is daughter of former Angolan president and is accused of siphoning $1B from Angolan state oil company Sonangol through shell companies across 41 countries.",,,,
49,pending,"$18,000 annual property insurance renewal from small business to Liberty Mutual. Standard commercial property coverage. Same policy renewed for 10 consecutive years.",,,,
50,pending,"$410M transfer from Hin Leong Trading Singapore to bank accounts in Hong Kong. Purpose: oil cargo financing. Hin Leong founder OK Lim hid $800M in losses from oil futures trading and forged documents to obtain bank financing from 23 international banks.",,,,
